1,3700,1,0
2,1041,1,0
3,1442,0,0
4,861,0,1
5,801,1,1
6,2315,0,1
7,297,0,0
8,1352,1,0
9,875,0,0
10,3707,0,1
11,1334,0,0
12,782,0,0
13,965,1,0
15,3608,1,0
9,16,1,1
17,127,0,0
18,2602,0,1
19,2592,0,0
20,3682,0,0
21,283,1,0
22,2394,1,0
23,3418,1,0
24,3562,1,0
25,50,1,0
26,1911,0,0
27,900,0,0
28,3746,0,1
28,29,0,1
30,2183,0,0
31,120,0,0
32,2131,0,0
34,1335,0,0
35,2186,0,0
36,2522,1,0
37,1797,0,1
38,328,0,0
39,215,0,0
40,66,0,1
41,873,0,0
42,1383,0,0
43,2425,1,0
44,1976,0,0
45,978,0,0
47,1731,0,1
48,623,0,1
49,3828,1,0
51,3055,1,0
52,1658,0,0
53,2157,0,0
54,3645,0,0
55,1358,1,0
56,146,0,0
17,57,1,0
58,83,1,1
19,59,0,0
60,1686,0,0
61,3551,0,0
15,62,1,0
63,1209,0,1
64,2975,0,0
65,226,0,0
67,2698,0,1
68,73,0,1
69,579,0,0
70,661,0,0
71,920,0,0
72,85,1,1
74,1636,0,1
75,547,1,0
76,2531,0,0
77,3366,0,0
78,304,0,0
79,2980,1,0
80,813,0,0
81,3802,0,0
82,188,0,0
83,3022,0,1
84,859,0,0
86,2155,0,0
87,226,0,0
85,88,1,1
89,3680,0,0
90,2331,0,1
91,2531,0,0
50,92,0,0
93,2276,0,1
94,3203,1,0
95,3852,0,0
96,264,1,1
97,1002,0,0
98,1320,0,0
99,613,1,1
100,819,0,1
101,2748,0,0
102,3322,1,0
103,2093,1,0
104,118,0,1
105,2798,0,0
106,2983,0,0
107,1393,0,0
108,605,1,0
109,558,1,0
110,3378,0,0
111,1368,1,0
112,1538,1,0
113,1003,0,1
114,290,1,1
115,1916,0,0
116,2540,0,0
117,3138,1,0
118,1091,1,1
119,2926,0,0
121,548,0,0
122,764,1,0
123,2872,0,1
125,3731,0,0
126,1508,0,0
127,1313,0,1
128,1839,1,1
129,1673,0,0
130,437,0,0
41,131,0,0
132,2112,0,0
133,1689,1,1
