1,50,27,0,23,20,12,21,0,65,12,10,23,20,6,0,0
2,6,14,5,19,11,49,32,15,20,1,-8,48,32,6,0,0
3,45,1,9,17,29,4,39,0,60,3,1,39,21,6,0,0
4,24,10,17,9,28,19,21,15,11,10,2,50,7,105,4,0
5,-7,-45,5,13,2,23,20,30,59,3,-5,13,26,6,0,0
6,8,14,7,22,19,15,53,15,36,4,9,49,9,6,0,0
7,31,54,14,10,24,26,26,15,21,8,11,49,8,6,0,0
8,32,7,0,23,18,23,50,-30,21,8,-16,69,17,6,4,0
9,8,11,23,23,12,23,50,0,14,2,-2,58,17,6,0,0
10,25,30,4,17,23,20,54,30,35,0,-7,60,18,6,4,0
11,45,27,15,23,19,21,40,-30,69,6,0,21,14,6,4,0
12,36,12,7,25,5,31,67,15,15,8,-7,32,33,6,0,0
13,45,3,9,19,22,20,42,-15,41,9,3,30,28,6,4,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2,6,19,7,19,34,23,30,37,3,11,33,17,6,0,0
16,26,0,9,19,9,40,73,0,23,5,-9,61,32,6,0,0
17,50,15,0,30,17,16,56,-15,23,9,-6,54,30,6,2,0
18,39,14,-1,25,25,40,45,30,13,3,-6,36,29,9,0,0
19,12,14,14,19,-9,29,60,15,6,7,-14,50,26,6,2,0
20,15,18,36,9,15,39,12,0,34,8,-1,21,15,6,0,0
21,12,12,9,15,22,31,27,15,49,4,14,24,18,6,0,0
22,4,-6,19,12,13,31,12,0,107,0,4,21,14,9,0,0
23,30,6,0,26,1,30,64,15,45,2,-13,70,39,6,0,0
24,19,-10,-1,29,14,37,53,-15,23,6,-8,48,26,6,0,0
25,28,25,17,9,14,64,22,-15,34,9,0,24,11,9,0,0
26,28,39,21,15,22,24,42,15,21,10,1,58,11,6,0,0
27,0,10,3,16,23,41,23,15,51,1,10,24,10,6,4,0
28,-3,8,16,7,5,48,33,0,78,0,-2,35,3,9,0,0
29,23,12,15,12,3,26,54,0,38,4,-2,40,27,6,4,0
30,11,14,20,13,8,45,16,-15,48,4,10,5,12,6,4,0
31,10,-3,24,27,18,21,22,-15,88,3,2,38,6,9,0,0
32,29,4,15,26,17,37,19,-30,34,9,3,21,16,6,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,31,-3,6,13,23,42,28,-15,19,13,-1,31,23,12,4,0
35,26,31,16,14,5,47,50,15,36,8,-20,47,26,6,0,0
36,10,9,17,10,17,40,10,15,61,5,0,21,8,0,2,0
37,34,27,20,12,27,35,9,-15,42,9,7,28,7,6,0,0
38,45,23,23,0,27,28,29,-15,10,9,3,31,12,6,0,0
39,22,1,13,27,20,22,15,-15,99,9,5,27,13,9,0,0
40,13,11,13,18,21,21,39,-30,76,2,-10,27,7,12,0,0
41,17,14,9,13,20,15,38,0,66,4,0,16,11,12,4,0
42,20,29,19,18,19,61,27,-15,19,3,-1,27,21,6,0,0
43,46,21,-7,24,15,37,46,15,20,16,-2,28,36,0,2,0
44,7,30,22,3,26,47,22,-15,21,3,0,32,21,6,2,0
45,16,-1,0,23,2,44,69,30,10,3,-17,48,43,6,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,28,14,7,30,22,36,39,0,21,3,0,53,33,6,0,0
48,0,-1,20,15,27,49,32,-30,22,1,-13,12,22,6,0,0
49,40,35,11,17,19,27,49,30,45,6,-11,40,20,12,4,0
50,27,22,11,13,15,23,48,15,7,12,-7,36,26,6,0,0
51,34,23,13,21,27,6,46,0,23,7,-5,50,13,6,2,0
52,33,5,8,16,10,47,34,15,36,1,-4,37,16,12,4,0
53,24,7,22,23,17,30,39,-15,76,0,2,27,17,6,0,0
